method,model_size_b,datasets,videos,frames_text,sintel_absrel,sintel_delta1,kitti_absrel,kitti_delta1,eth3d_absrel,eth3d_delta1,avg_absrel,avg_delta1
Ours - V-JEPA - H,0.6B,1.0,7500.0,0.9M,0.422,37.3,0.226,47.5,0.196,71.8,0.281,52.2
Ours - VideoMae V2 - H,0.6B,1.0,7500.0,0.9M,0.275,37.4,0.124,64.6,0.126,84.1,0.175,62.0
Ours - VideoMae V2 - G,1B,1.0,7500.0,0.9M,0.26,41.4,0.105,70.2,0.099,89.3,0.154,66.9
Ours - WAN 2.1 - S,1.3B,1.0,7500.0,0.9M,0.201,72.7,0.099,89.2,0.068,95.6,0.122,85.8
Ours - WAN 2.1 - L,14B,1.0,7500.0,0.9M,0.181,76.8,0.06,97.1,0.039,98.2,0.093,90.7
DepthAnything V3 - G[lin2025depth],1.15B,22+,1230000.0,∼\sim200M,0.201,72.1,0.059,96.6,0.028,98.8,0.096,89.1
D4RT[zhang2025efficiently],1B,11+,1000000.0,∼\sim86M,0.148,80.3,0.055,97.9,0.045,97.0,0.082,91.7
VGGT -Ω\Omega[wang2026vggt],1B,33+,3000000.0,∼\sim600M,0.145,87.6,0.041,98.5,0.016,99.6,0.067,95.2
Ours - WAN 2.1 - S,1.3B,4.0,8080.0,1.23M,0.167,76.9,0.06,97.3,0.056,97.6,0.094,90.6
Ours - WAN 2.1 - L,14B,4.0,8080.0,1.23M,0.13,84.5,0.048,98.3,0.037,98.8,0.071,93.8
