block,action,fx,fy,expansion,agree,expansion_rel
0,J,2.0438,-0.0763,0.2811,1.0,0.2641
1,J,2.3341,-0.1005,0.5923,1.0,0.5566
2,J,2.3778,-0.0677,0.4388,1.0,0.4123
3,J,2.2668,-0.0123,0.2322,1.0,0.2182
4,J,2.1298,-0.0136,0.0134,1.0,0.0126
5,J,2.1381,-0.0238,-0.2174,1.0,-0.2043
6,J,2.1916,-0.0278,-0.2305,1.0,-0.2166
7,J,1.8613,-0.0514,-0.0621,1.0,-0.0584
8,W,0.2354,0.0523,0.4133,nan,0.3884
9,W,0.2536,0.2453,0.9006,nan,0.8463
10,W,0.2928,0.2298,0.9789,nan,0.9199
11,W,0.3132,0.1987,0.8565,nan,0.8049
12,W,0.3014,0.2369,0.8985,nan,0.8443
13,W,0.3467,0.2885,1.0039,nan,0.9433
14,W,0.4871,0.2287,1.0729,nan,1.0082
15,W,0.0587,0.2329,1.0506,nan,0.9873
16,L,-1.2905,0.0734,0.9288,1.0,0.8728
17,L,-1.1910,0.0314,0.6919,1.0,0.6502
18,L,-0.9956,-0.0080,0.5371,1.0,0.5047
19,L,-0.6141,-0.0336,0.0550,1.0,0.0517
20,L,-0.0806,0.0158,-0.4975,1.0,-0.4675
21,L,0.3408,-0.0056,-0.4531,0.0,-0.4258
22,L,-0.0572,0.0105,-0.5361,1.0,-0.5037
23,L,0.1920,0.0925,-0.7279,0.0,-0.6840
24,W,0.1153,0.3671,1.3033,nan,1.2248
25,W,-0.2281,0.3319,1.0101,nan,0.9492
26,W,-0.4258,0.5425,1.5847,nan,1.4891
27,W,-0.5866,1.2643,1.7696,nan,1.6629
28,W,-0.0666,1.1457,1.2310,nan,1.1568
29,W,0.7820,0.5730,1.0932,nan,1.0273
30,W,0.4996,1.1279,0.6123,nan,0.5754
31,W,0.9688,0.9335,1.2470,nan,1.1719
32,J,1.9701,0.1449,-0.0232,1.0,-0.0218
33,J,1.8959,-0.0408,-0.0933,1.0,-0.0876
34,J,1.7900,0.0090,-0.0098,1.0,-0.0092
35,J,1.8361,0.1005,0.3241,1.0,0.3045
36,J,2.0950,0.0224,0.2672,1.0,0.2511
37,J,1.8757,-0.0337,-0.1550,1.0,-0.1456
38,J,1.7392,-0.0755,-0.3054,1.0,-0.2870
39,J,1.8315,-0.0597,-0.1180,1.0,-0.1109
40,W,0.0243,0.4859,0.8396,nan,0.7889
41,W,0.2217,1.1053,1.6880,nan,1.5862
42,W,0.3800,1.3224,1.9194,nan,1.8037
43,W,0.4390,1.8409,2.2035,nan,2.0707
44,W,0.4199,2.1575,1.9061,nan,1.7911
45,W,0.6243,1.5463,2.0495,nan,1.9259
46,W,1.0618,2.0408,2.2815,nan,2.1440
47,W,0.9072,2.3757,2.0520,nan,1.9283
48,L,0.0218,0.7386,1.2297,1.0,1.1556
49,L,-0.4321,0.0484,0.6816,1.0,0.6405
50,L,-0.4763,0.0775,0.3698,1.0,0.3475
51,L,-0.5498,0.0758,0.1658,1.0,0.1558
52,L,-0.4886,0.0433,0.0092,1.0,0.0087
53,L,-0.3079,0.0365,-0.2154,1.0,-0.2024
54,L,-0.4019,-0.0149,-0.4033,1.0,-0.3790
55,L,-0.2238,0.0205,-0.3667,1.0,-0.3446
56,W,-0.2262,0.6422,1.4965,nan,1.4062
57,W,-0.0761,0.9360,1.5755,nan,1.4805
58,W,-0.0588,1.0776,1.3018,nan,1.2233
59,W,0.0814,1.5539,1.6753,nan,1.5743
60,W,0.1362,1.8513,1.4108,nan,1.3257
61,W,0.4182,0.7720,0.5504,nan,0.5172
62,W,0.0264,0.1569,0.0126,nan,0.0118
63,W,0.5551,0.1832,0.1453,nan,0.1366
64,J,1.9237,0.0109,-0.7750,1.0,-0.7283
65,J,3.0255,0.0193,-0.6516,1.0,-0.6124
66,J,3.9412,-0.0100,-0.0550,1.0,-0.0517
67,J,4.2712,-0.0428,-0.1011,1.0,-0.0950
68,J,4.4573,-0.1165,0.0188,1.0,0.0177
69,J,4.5100,-0.0376,0.3754,1.0,0.3528
70,J,4.4315,0.0243,0.3750,1.0,0.3524
71,J,3.6086,0.0897,0.5052,1.0,0.4748
72,W,-0.4401,1.6038,3.1705,nan,2.9793
73,W,0.4403,0.8681,2.0910,nan,1.9649
74,W,-0.5054,1.3405,3.5397,nan,3.3263
75,W,0.0610,1.8719,2.9913,nan,2.8109
76,W,-0.3715,1.0196,2.5669,nan,2.4121
77,W,-0.5286,0.3929,1.1132,nan,1.0461
78,W,-0.0182,0.1176,0.3318,nan,0.3118
79,W,-0.5652,0.6922,1.4154,nan,1.3300
80,L,-0.1229,-0.1513,-0.1790,1.0,-0.1682
81,L,-0.7577,-0.0923,-0.3835,1.0,-0.3604
82,L,-0.8795,-0.0494,-0.5130,1.0,-0.4821
83,L,-1.4444,-0.1216,-0.5204,1.0,-0.4890
84,L,-2.3684,-0.1304,-0.6949,1.0,-0.6530
85,L,-2.8756,-0.1952,-0.8473,1.0,-0.7962
86,L,-3.2834,-0.2596,-0.2667,1.0,-0.2506
87,L,-2.4806,-0.2543,-0.0504,1.0,-0.0474
88,W,0.2645,-0.3288,0.1600,nan,0.1504
89,W,0.4118,-0.5199,1.4165,nan,1.3311
90,W,-0.0234,0.7079,2.3788,nan,2.2353
91,W,-0.0857,1.6081,2.9375,nan,2.7604
92,W,0.0484,1.2968,1.9201,nan,1.8043
93,W,0.4538,1.2793,2.1228,nan,1.9948
94,W,-0.2085,1.1525,2.2250,nan,2.0908
95,W,0.4520,-0.1238,1.9031,nan,1.7883
96,J,3.3073,0.3748,0.9158,1.0,0.8606
97,J,3.4566,0.2892,0.6981,1.0,0.6560
98,J,3.8676,0.4933,0.6283,1.0,0.5904
99,J,3.9932,0.3621,0.5016,1.0,0.4714
100,J,4.1819,0.1988,0.3048,1.0,0.2865
101,J,4.4232,0.2018,0.3070,1.0,0.2885
102,J,4.2498,0.1939,0.3919,1.0,0.3683
103,J,3.8917,0.3236,0.5463,1.0,0.5133
104,W,0.6531,0.6879,1.7536,nan,1.6479
105,W,0.2018,1.2889,2.1445,nan,2.0152
106,W,0.2934,1.3078,2.3877,nan,2.2438
107,W,0.3268,1.7311,2.7850,nan,2.6171
108,W,0.2464,1.7593,2.8871,nan,2.7130
109,W,0.0310,1.6095,2.8831,nan,2.7092
110,W,0.0220,1.1401,2.3353,nan,2.1945
111,W,0.0822,1.1428,2.0303,nan,1.9079
