episode,len_s,right_reversals,right_dur,right_move_frac,right_rev_per_10s,right_slow_frac,right_jitter,right_speed_med,left_reversals,left_dur,left_move_frac,left_rev_per_10s,left_slow_frac,left_jitter,left_speed_med
0,18.12,0,18.12,0.9358407079646017,0.0,0.3053097345132743,0.006764407707474052,0.10866691585015764,0,18.12,0.8429203539823009,0.0,0.5597345132743363,0.005998948695827837,0.05617735614131386
1,18.04,0,18.04,0.9444444444444444,0.0,0.3333333333333333,0.005659122451389918,0.08534434016509784,0,18.04,0.8711111111111111,0.0,0.6155555555555555,0.00533272702563593,0.04346979774939677
2,18.88,0,18.88,0.9660297239915074,0.0,0.33970276008492567,0.00753072601576272,0.08844572860480905,0,18.88,0.940552016985138,0.0,0.6114649681528662,0.005840927841568125,0.03692730378072874
3,12.16,0,12.16,0.9570957095709571,0.0,0.26732673267326734,0.007803654397499743,0.15224173168336463,0,12.16,0.9438943894389439,0.0,0.46534653465346537,0.004829750222737005,0.06602389655190426
4,17.64,0,17.64,0.9840909090909091,0.0,0.5,0.008709507078078181,0.053649866083547715,0,17.64,0.9931818181818182,0.0,0.32727272727272727,0.00911277690824167,0.09025517034227638
5,16.0,0,16.0,0.9824561403508771,0.0,0.22807017543859648,0.004912694285866272,0.11645785640605613,0,16.0,0.9874686716791979,0.0,0.39598997493734334,0.0037275007359072773,0.054692964838675265
6,19.4,0,19.4,0.9731404958677686,0.0,0.2892561983471074,0.006029993907407147,0.0762757426250203,0,19.4,0.9194214876033058,0.0,0.6012396694214877,0.005567263767300313,0.0423782784040467
7,12.96,0,12.96,0.9690402476780186,0.0,0.544891640866873,0.0046823855656671085,0.046317670236549556,0,12.96,0.9597523219814241,0.0,0.28173374613003094,0.006969408389360078,0.13544455594015267
8,18.64,0,18.64,0.9741935483870968,0.0,0.3032258064516129,0.005051175999333575,0.07247456489082378,0,18.64,0.9268817204301075,0.0,0.6989247311827957,0.004277584306086236,0.03931831139412666
9,24.12,0,24.12,0.9800664451827242,0.0,0.19269102990033224,0.006606810383058097,0.13373381577295224,0,24.12,0.9385382059800664,0.0,0.3372093023255814,0.005346962452953918,0.09967206296229092
