task,ep,frames,dur_s,fps,frac_loco,frac_mani,frac_concurrent,conc_given_motion,teleop_lag_ms,track_rmse_rad,grasp_cycles
mop_floor,episode_0000_20260529_204454,248,8.22,30.05,0.8381,0.8704,0.7895,0.859,120.0,0.1895,1
mop_floor,episode_0000_20260602_220915,281,9.34,29.98,0.8214,0.8964,0.7857,0.8429,240.0,0.2033,1
mop_floor,episode_0000_20260602_224413,256,8.5,30.0,0.7765,0.8314,0.7529,0.8807,140.0,0.2198,1
mop_floor,episode_0000_20260602_231631,250,8.3,30.0,0.7871,0.8594,0.7791,0.8981,200.0,0.2049,1
mop_floor,episode_0001_20260529_201500,210,6.96,30.03,0.8517,0.8995,0.8373,0.9162,319.9,0.2189,1
mop_floor,episode_0001_20260529_204614,244,8.1,30.0,0.8395,0.9218,0.8189,0.869,159.9,0.1906,1
mop_floor,episode_0001_20260602_220952,263,8.74,29.98,0.8244,0.8893,0.813,0.9025,120.0,0.1793,0
mop_floor,episode_0001_20260602_224437,222,7.38,29.95,0.8054,0.914,0.7964,0.8627,120.0,0.2312,1
mop_floor,episode_0001_20260602_231705,228,7.58,29.95,0.8018,0.9075,0.7974,0.8744,160.0,0.2115,1
mop_floor,episode_0002_20260529_201534,229,7.6,30.0,0.8553,0.9386,0.8509,0.9023,319.9,0.2057,0
mop_floor,episode_0002_20260529_204644,244,8.1,30.0,0.8189,0.9136,0.7984,0.8546,259.9,0.1779,1
mop_floor,episode_0002_20260602_221036,260,8.64,29.98,0.7954,0.9151,0.7954,0.8692,140.0,0.2056,1
mop_floor,episode_0002_20260602_224457,229,7.6,30.0,0.7939,0.8904,0.7939,0.8916,80.0,0.2122,1
mop_floor,episode_0002_20260602_231731,233,7.74,29.97,0.7888,0.9052,0.7716,0.8364,279.9,0.2346,1
mop_floor,episode_0003_20260529_201603,219,7.26,30.03,0.7982,0.9174,0.789,0.8515,259.9,0.202,0
mop_floor,episode_0003_20260602_221103,230,7.64,29.97,0.8384,0.9389,0.8384,0.893,239.9,0.1965,1
mop_floor,episode_0003_20260602_224518,242,8.04,29.98,0.805,0.8714,0.7925,0.8967,240.0,0.2346,1
mop_floor,episode_0003_20260602_231753,231,7.66,30.03,0.8217,0.9043,0.813,0.8905,320.0,0.2331,0
mop_floor,episode_0004_20260529_201630,295,9.8,30.0,0.6497,0.7993,0.6293,0.7676,100.0,0.1708,1
mop_floor,episode_0004_20260529_204740,237,7.88,29.95,0.8432,0.9322,0.8305,0.8789,319.9,0.2219,1
mop_floor,episode_0004_20260602_221137,239,7.94,29.97,0.8697,0.9454,0.8655,0.9115,239.9,0.1881,1
mop_floor,episode_0004_20260602_224552,235,7.8,30.0,0.8077,0.9274,0.8034,0.8624,120.0,0.2295,1
mop_floor,episode_0005_20260529_201659,219,7.26,30.03,0.7844,0.9083,0.7844,0.8636,479.9,0.1964,1
mop_floor,episode_0005_20260529_204826,224,7.44,29.97,0.8386,0.9193,0.8251,0.8846,160.0,0.1852,1
mop_floor,episode_0005_20260602_221205,239,7.94,29.97,0.8403,0.9034,0.8109,0.8694,239.9,0.1892,1
mop_floor,episode_0005_20260602_224612,218,7.22,30.06,0.8203,0.9263,0.8157,0.8762,200.0,0.216,1
mop_floor,episode_0005_20260602_231907,225,7.46,30.03,0.8125,0.942,0.8036,0.8451,240.0,0.2189,1
mop_floor,episode_0006_20260529_201730,204,6.76,30.03,0.8768,0.9507,0.8719,0.9124,120.0,0.1804,1
mop_floor,episode_0006_20260529_204907,235,7.8,30.0,0.8205,0.8889,0.7949,0.8692,359.8,0.188,1
mop_floor,episode_0006_20260602_221233,227,7.52,30.05,0.8496,0.8805,0.8097,0.8798,0.0,0.1826,1
mop_floor,episode_0006_20260602_224633,228,7.56,30.03,0.8062,0.8987,0.793,0.8696,220.0,0.2135,1
mop_floor,episode_0006_20260602_231926,226,7.5,30.0,0.8089,0.9556,0.8,0.8295,559.9,0.2216,1
mop_floor,episode_0007_20260529_201802,219,7.26,30.03,0.8578,0.945,0.8578,0.9078,299.8,0.1934,1
mop_floor,episode_0007_20260529_204942,238,7.9,30.0,0.8397,0.8987,0.8143,0.8813,539.9,0.2124,1
mop_floor,episode_0007_20260602_221300,234,7.76,30.03,0.7811,0.8927,0.7425,0.7972,239.9,0.2036,1
mop_floor,episode_0007_20260602_224652,232,7.7,30.0,0.8139,0.9048,0.8095,0.8905,140.0,0.2246,1
mop_floor,episode_0007_20260602_231947,227,7.54,29.97,0.8053,0.9204,0.7965,0.8571,160.0,0.2174,1
mop_floor,episode_0008_20260529_205026,250,8.3,30.0,0.8394,0.9357,0.8313,0.8809,120.0,0.1919,1
mop_floor,episode_0008_20260602_221332,215,7.14,29.97,0.8692,0.9439,0.8505,0.8835,220.0,0.1934,1
mop_floor,episode_0008_20260602_224715,232,7.7,30.0,0.7965,0.8831,0.7879,0.8835,140.0,0.2072,1
mop_floor,episode_0008_20260602_232005,255,8.46,30.02,0.7992,0.8819,0.7835,0.8728,239.9,0.2184,1
mop_floor,episode_0009_20260529_202008,224,7.42,30.05,0.8744,0.9507,0.861,0.893,239.9,0.1926,1
mop_floor,episode_0009_20260529_205116,267,8.86,30.02,0.7782,0.8684,0.7519,0.8403,180.0,0.1955,1
mop_floor,episode_0009_20260602_221400,228,7.56,30.03,0.7841,0.8899,0.7709,0.8537,239.9,0.1837,1
mop_floor,episode_0009_20260602_224736,211,7.0,30.0,0.819,0.9143,0.819,0.8958,359.9,0.1831,1
mop_floor,episode_0009_20260602_232029,233,7.72,30.05,0.8405,0.9569,0.8319,0.8616,100.0,0.2321,1
mop_floor,episode_0010_20260529_202044,243,8.06,30.03,0.8058,0.905,0.8017,0.8818,-159.9,0.1935,1
mop_floor,episode_0010_20260602_184423,241,8.04,29.85,0.8042,0.9125,0.7792,0.8311,120.0,0.2033,1
mop_floor,episode_0010_20260602_221434,226,7.5,30.0,0.8044,0.8844,0.7956,0.8905,160.0,0.1795,1
mop_floor,episode_0010_20260602_224759,227,7.54,29.97,0.8186,0.8628,0.7965,0.9,120.0,0.2038,1
mop_floor,episode_0010_20260602_232132,199,6.6,30.0,0.8687,0.9646,0.8434,0.852,220.0,0.2473,1
mop_floor,episode_0011_20260529_202136,222,7.36,30.03,0.8643,0.9412,0.8597,0.9091,239.9,0.2043,1
mop_floor,episode_0011_20260602_184501,227,7.56,29.89,0.8584,0.9248,0.8319,0.8744,100.0,0.2025,1
mop_floor,episode_0011_20260602_221501,225,7.48,29.95,0.8438,0.8929,0.8259,0.9069,120.0,0.1837,0
mop_floor,episode_0011_20260602_224928,220,7.3,30.0,0.8037,0.9315,0.8037,0.8627,200.0,0.2102,1
mop_floor,episode_0011_20260602_232152,200,6.64,29.97,0.8492,0.9397,0.8492,0.9037,319.9,0.2258,1
mop_floor,episode_0012_20260529_202220,221,7.34,29.97,0.8909,0.9045,0.8636,0.9268,199.8,0.1896,1
mop_floor,episode_0012_20260602_184537,259,8.62,29.93,0.8566,0.9147,0.8372,0.8963,-100.0,0.2116,1
mop_floor,episode_0012_20260602_221535,228,7.56,30.03,0.815,0.9251,0.8062,0.8632,240.0,0.1918,1
mop_floor,episode_0012_20260602_224948,229,7.58,30.08,0.8026,0.8596,0.7895,0.9045,160.0,0.1859,1
mop_floor,episode_0012_20260602_232212,227,7.54,29.97,0.7743,0.9292,0.7699,0.8246,359.9,0.2157,1
mop_floor,episode_0013_20260529_202253,261,8.66,30.02,0.8192,0.8615,0.8115,0.9336,239.8,0.1928,1
mop_floor,episode_0013_20260602_184607,245,8.14,29.98,0.7664,0.8607,0.7377,0.8295,459.9,0.2199,0
mop_floor,episode_0013_20260602_221615,248,8.24,29.98,0.8664,0.9109,0.83,0.8761,239.9,0.2088,1
mop_floor,episode_0013_20260602_225015,229,7.6,30.0,0.8114,0.9079,0.8026,0.8756,160.0,0.2093,1
mop_floor,episode_0013_20260602_232237,195,6.48,29.94,0.8454,0.9227,0.8144,0.8541,280.0,0.2355,1
mop_floor,episode_0014_20260529_202340,232,7.7,30.0,0.8485,0.9264,0.8355,0.8894,160.0,0.1967,1
mop_floor,episode_0014_20260602_184635,226,7.52,29.92,0.8444,0.9333,0.8356,0.8868,0.0,0.1986,1
mop_floor,episode_0014_20260602_221644,216,7.16,30.03,0.8233,0.9209,0.8093,0.8657,160.0,0.1986,1
mop_floor,episode_0014_20260602_225037,224,7.44,29.97,0.7668,0.8969,0.7623,0.8458,160.0,0.221,1
mop_floor,episode_0014_20260602_232305,209,6.94,29.97,0.8654,0.9375,0.851,0.8939,200.0,0.2351,1
mop_floor,episode_0015_20260602_221710,235,7.8,30.0,0.8333,0.8846,0.8205,0.9143,359.9,0.201,1
mop_floor,episode_0015_20260602_225101,234,7.76,30.03,0.8155,0.867,0.7983,0.9029,160.0,0.232,1
mop_floor,episode_0015_20260602_232330,214,7.1,30.0,0.8498,0.9859,0.8498,0.8619,60.0,0.2276,1
mop_floor,episode_0016_20260529_202513,207,6.86,30.03,0.8932,0.9466,0.8883,0.9337,319.9,0.1751,1
mop_floor,episode_0016_20260602_184745,246,8.18,29.95,0.8204,0.8816,0.7918,0.87,160.0,0.1884,1
mop_floor,episode_0016_20260602_221736,224,7.44,29.97,0.7892,0.8789,0.7848,0.8883,359.9,0.1873,1
mop_floor,episode_0016_20260602_225128,245,8.14,29.98,0.7869,0.873,0.7664,0.8578,240.0,0.2226,1
mop_floor,episode_0016_20260602_232352,197,6.54,29.97,0.8367,0.9031,0.8163,0.884,279.9,0.221,1
mop_floor,episode_0017_20260529_202544,273,9.06,30.02,0.7684,0.8676,0.7537,0.8542,79.9,0.1714,1
mop_floor,episode_0017_20260602_184830,245,8.16,29.9,0.7828,0.9139,0.7459,0.7845,240.0,0.2001,1
mop_floor,episode_0017_20260602_221805,233,7.74,29.97,0.8362,0.9267,0.8276,0.8848,120.0,0.1816,1
mop_floor,episode_0017_20260602_225149,225,7.48,29.95,0.7812,0.9375,0.7812,0.8333,120.0,0.2209,1
mop_floor,episode_0017_20260602_232417,193,6.38,30.09,0.8542,0.9583,0.8542,0.8913,519.9,0.2333,1
mop_floor,episode_0018_20260529_202617,236,7.84,29.97,0.766,0.8638,0.7532,0.8592,219.9,0.1773,1
mop_floor,episode_0018_20260602_184911,251,8.34,29.98,0.828,0.888,0.808,0.8899,0.0,0.1923,1
mop_floor,episode_0018_20260602_221829,220,7.3,30.0,0.8265,0.9361,0.8128,0.8558,240.0,0.1798,1
mop_floor,episode_0018_20260602_225210,266,8.84,29.98,0.8189,0.917,0.8189,0.893,40.0,0.2163,1
mop_floor,episode_0018_20260602_232440,205,6.8,30.0,0.799,0.9559,0.799,0.8359,140.0,0.2042,1
mop_floor,episode_0019_20260602_184946,252,8.36,30.02,0.7928,0.9124,0.7729,0.8291,80.0,0.2002,1
mop_floor,episode_0019_20260602_221849,220,7.3,30.0,0.8356,0.9269,0.8219,0.8738,140.0,0.2022,1
mop_floor,episode_0019_20260602_225232,239,7.94,29.97,0.7689,0.895,0.7689,0.8592,280.0,0.2198,1
mop_floor,episode_0019_20260602_232520,198,6.56,30.03,0.8629,0.9492,0.8528,0.8889,260.0,0.2084,1
mop_floor,episode_0020_20260529_202726,240,7.98,29.95,0.8452,0.9331,0.8326,0.8805,199.9,0.1829,1
mop_floor,episode_0020_20260602_185025,282,9.38,29.96,0.758,0.8434,0.7295,0.8367,60.0,0.2104,1
mop_floor,episode_0020_20260602_221915,225,7.46,30.03,0.8571,0.9464,0.8304,0.8532,60.0,0.2003,1
mop_floor,episode_0020_20260602_225301,227,7.54,29.97,0.8319,0.9027,0.8097,0.8756,240.0,0.2509,1
mop_floor,episode_0020_20260602_232543,197,6.54,29.97,0.8265,0.9388,0.8265,0.8804,439.9,0.2007,1
mop_floor,episode_0021_20260529_202839,258,8.56,30.02,0.7899,0.8366,0.7432,0.8414,280.0,0.1771,1
mop_floor,episode_0021_20260602_185120,249,8.32,29.81,0.7137,0.8508,0.6855,0.7798,0.0,0.1988,1
mop_floor,episode_0021_20260602_221941,230,7.64,29.97,0.8253,0.8908,0.821,0.9171,280.0,0.1874,1
mop_floor,episode_0021_20260602_225325,224,7.44,29.97,0.8161,0.9327,0.8161,0.875,240.0,0.2205,0
mop_floor,episode_0021_20260602_232605,219,7.28,29.94,0.8028,0.8945,0.789,0.8687,200.0,0.1797,1
mop_floor,episode_0022_20260529_202911,229,7.58,30.08,0.8509,0.8904,0.8377,0.9272,200.0,0.1904,1
mop_floor,episode_0022_20260602_222003,225,7.48,29.95,0.7857,0.9196,0.7812,0.8454,120.0,0.1823,1
mop_floor,episode_0022_20260602_225346,238,7.9,30.0,0.7975,0.8819,0.789,0.8863,180.0,0.2225,1
mop_floor,episode_0022_20260602_232625,211,7.0,30.0,0.8333,0.9381,0.8238,0.8693,240.0,0.2033,1
mop_floor,episode_0023_20260529_203005,255,8.46,30.02,0.7874,0.8583,0.7598,0.8578,439.9,0.191,1
mop_floor,episode_0023_20260602_185204,250,8.3,30.0,0.7912,0.8474,0.7108,0.7662,140.0,0.1888,1
mop_floor,episode_0023_20260602_222026,230,7.64,29.97,0.821,0.8777,0.7991,0.8883,180.0,0.1981,1
mop_floor,episode_0023_20260602_225414,243,8.06,30.03,0.7851,0.8636,0.7727,0.8821,200.0,0.247,1
mop_floor,episode_0023_20260602_232648,214,7.08,30.08,0.784,0.9577,0.784,0.8186,240.0,0.1905,1
mop_floor,episode_0024_20260529_203057,252,8.38,29.95,0.9004,0.8765,0.8167,0.8506,200.0,0.2051,1
